column,pair,kappa
general_reference,alpha_beta,0.912
general_reference,alpha_delta,0.908
general_reference,alpha_gamma,0.916
general_reference,beta_delta,0.904
general_reference,beta_gamma,0.909
general_reference,delta_gamma,0.897
pipl_mention,alpha_beta,0.938
pipl_mention,alpha_delta,0.926
pipl_mention,alpha_gamma,0.933
pipl_mention,beta_delta,0.914
pipl_mention,beta_gamma,0.922
pipl_mention,delta_gamma,0.922
sensitive_data,alpha_beta,0.899
sensitive_data,alpha_delta,0.884
sensitive_data,alpha_gamma,0.905
sensitive_data,beta_delta,0.878
sensitive_data,beta_gamma,0.9
sensitive_data,delta_gamma,0.884
right_know_and_decide,alpha_beta,0.871
right_know_and_decide,alpha_delta,0.872
right_know_and_decide,alpha_gamma,0.898
right_know_and_decide,beta_delta,0.871
right_know_and_decide,beta_gamma,0.867
right_know_and_decide,delta_gamma,0.868
right_access_and_copy,alpha_beta,0.864
right_access_and_copy,alpha_delta,0.87
right_access_and_copy,alpha_gamma,0.884
right_access_and_copy,beta_delta,0.873
right_access_and_copy,beta_gamma,0.858
right_access_and_copy,delta_gamma,0.875
right_rectification,alpha_beta,0.897
right_rectification,alpha_delta,0.869
right_rectification,alpha_gamma,0.891
right_rectification,beta_delta,0.899
right_rectification,beta_gamma,0.888
right_rectification,delta_gamma,0.898
right_erasure,alpha_beta,0.875
right_erasure,alpha_delta,0.894
right_erasure,alpha_gamma,0.895
right_erasure,beta_delta,0.886
right_erasure,beta_gamma,0.882
right_erasure,delta_gamma,0.901
right_explanation,alpha_beta,0.722
right_explanation,alpha_delta,0.714
right_explanation,alpha_gamma,0.752
right_explanation,beta_delta,0.741
right_explanation,beta_gamma,0.707
right_explanation,delta_gamma,0.768
right_next_of_kin,alpha_beta,0.769
right_next_of_kin,alpha_delta,0.714
right_next_of_kin,alpha_gamma,0.761
right_next_of_kin,beta_delta,0.741
right_next_of_kin,beta_gamma,0.729
right_next_of_kin,delta_gamma,0.714
right_convenient_exercise_and_remedy,alpha_beta,0.86
right_convenient_exercise_and_remedy,alpha_delta,0.836
right_convenient_exercise_and_remedy,alpha_gamma,0.859
right_convenient_exercise_and_remedy,beta_delta,0.854
right_convenient_exercise_and_remedy,beta_gamma,0.853
right_convenient_exercise_and_remedy,delta_gamma,0.847
resp_security_and_management,alpha_beta,0.898
resp_security_and_management,alpha_delta,0.894
resp_security_and_management,alpha_gamma,0.896
resp_security_and_management,beta_delta,0.899
resp_security_and_management,beta_gamma,0.89
resp_security_and_management,delta_gamma,0.888
resp_protection_officer,alpha_beta,0.799
resp_protection_officer,alpha_delta,0.65
resp_protection_officer,alpha_gamma,0.788
resp_protection_officer,beta_delta,0.758
resp_protection_officer,beta_gamma,0.768
resp_protection_officer,delta_gamma,0.649
resp_local_representative,alpha_beta,0.799
resp_local_representative,alpha_delta,0.719
resp_local_representative,alpha_gamma,0.736
resp_local_representative,beta_delta,0.558
resp_local_representative,beta_gamma,0.842
resp_local_representative,delta_gamma,0.582
resp_compliance_audits,alpha_beta,0.768
resp_compliance_audits,alpha_delta,0.745
resp_compliance_audits,alpha_gamma,0.752
resp_compliance_audits,beta_delta,0.801
resp_compliance_audits,beta_gamma,0.793
resp_compliance_audits,delta_gamma,0.787
resp_impact_assessment,alpha_beta,0.827
resp_impact_assessment,alpha_delta,0.881
resp_impact_assessment,alpha_gamma,0.814
resp_impact_assessment,beta_delta,0.845
resp_impact_assessment,beta_gamma,0.847
resp_impact_assessment,delta_gamma,0.814
resp_incident_response_and_notification,alpha_beta,0.897
resp_incident_response_and_notification,alpha_delta,0.874
resp_incident_response_and_notification,alpha_gamma,0.874
resp_incident_response_and_notification,beta_delta,0.875
resp_incident_response_and_notification,beta_gamma,0.877
resp_incident_response_and_notification,delta_gamma,0.87
resp_platform_compliance,alpha_beta,0.768
resp_platform_compliance,alpha_delta,0.665
resp_platform_compliance,alpha_gamma,0.833
resp_platform_compliance,beta_delta,0.732
resp_platform_compliance,beta_gamma,0.665
resp_platform_compliance,delta_gamma,0.641
resp_outsourced_processing,alpha_beta,0.79
resp_outsourced_processing,alpha_delta,0.793
resp_outsourced_processing,alpha_gamma,0.804
resp_outsourced_processing,beta_delta,0.778
resp_outsourced_processing,beta_gamma,0.789
