flag,maj,any,diff
general_reference,71.112,74.909,3.7970000000000113
pipl_mention,2.4,2.947,0.5470000000000002
sensitive_data,9.569,12.029,2.459999999999999
right_know_and_decide,7.351,9.478,2.127
right_access_and_copy,8.505,11.391,2.8859999999999992
right_rectification,5.407,6.987,1.58
right_erasure,6.926,8.718,1.7919999999999998
right_explanation,3.311,5.954,2.643
right_next_of_kin,1.245,2.43,1.185
right_convenient_exercise_and_remedy,9.265,12.637,3.372
resp_security_and_management,21.962,26.337,4.375
resp_protection_officer,0.577,1.033,0.45599999999999996
resp_local_representative,0.243,0.547,0.30400000000000005
resp_compliance_audits,1.792,3.129,1.337
resp_impact_assessment,1.549,2.309,0.7600000000000002
resp_incident_response_and_notification,17.345,21.507,4.162000000000003
resp_platform_compliance,0.304,0.668,0.36400000000000005
resp_outsourced_processing,5.923,9.356,3.433
kw_parental_consent_for_minors,4.131,5.68,1.5489999999999995
kw_cross_border_transfer,2.795,4.405,1.6100000000000003
kw_automated_decision_making_transparency,0.577,1.215,0.6380000000000001
kw_de_identification,0.972,2.248,1.2760000000000002
kw_anonymization,0.516,1.397,0.881
sector_agriculture_forestry_animal_husbandry_and_fishery,3.038,3.919,0.8810000000000002
sector_mining,0.243,0.425,0.182
sector_manufacturing,4.162,5.893,1.7309999999999999
sector_production_and_supply_of_electricity_heat_gas_and_water,0.638,1.033,0.3949999999999999
sector_construction,0.82,1.974,1.154
sector_wholesale_and_retail_trade,3.584,5.559,1.975
sector_transportation_storage_and_postal_services,10.753,13.578,2.8249999999999993
sector_accommodation_and_catering,3.068,4.891,1.823
sector_information_transmission_software_and_it_services,16.191,20.687,4.496000000000002
sector_financial_intermediation,11.087,13.973,2.886000000000001
sector_real_estate,1.337,2.704,1.3670000000000002
sector_leasing_and_business_services,2.248,4.405,2.157
sector_scientific_research_and_technical_services,1.397,2.947,1.55
sector_water_conservancy_environment_and_public_facilities_management,1.367,3.007,1.6400000000000001
sector_resident_services_repair_and_other_services,3.888,7.503,3.615
sector_education,13.548,17.375,3.827
sector_health_and_social_work,21.993,26.671,4.678000000000001
sector_culture_sports_and_entertainment,4.648,7.017,2.3690000000000007
sector_public_administration_social_security_and_social_organizations,25.729,35.753,10.024000000000001
sector_international_organizations,0.03,0.304,0.274
solove_information_collection,19.502,24.727,5.225000000000001
solove_information_processing,23.663,28.25,4.587
solove_information_dissemination,14.307,20.626,6.319000000000001
solove_invasion,1.094,2.309,1.215
