title,date_enacted,legal_status,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,folder
Report on Handling Proposals Submitted by Representatives at the Second Session of the Eleventh National People's Congress,12.03.2009,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/十一届全国人大二次会议秘书处关于第十一届全...(FBM-CLI.1.176889).txt,privacy
Report on the Results of the Review of Proposals Submitted by Representatives to the Fifth Session of the Tenth National People's Congress,29.12.2007,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],Discussion on legislative proposals including privacy laws.,FALSE,1_laws/全国人大法律委员会关于第十届全国人民代表大...(FBM-CLI.1.113335).txt,privacy
Report on the 2018 Filing Review Work of the Legislative Work Committee of the Standing Committee of the National People's Congress,24.12.2018,1_laws,national,People's Republic of China,TRUE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会常务委员会法制工作委员会关...(FBM-CLI.1.328157).txt,privacy
Anti-Terrorism Law of the People's Republic of China (2018 Revision),27.12.2015,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates anti-terrorism measures and responsibilities.,FALSE,1_laws/中华人民共和国反恐怖主义法(2018修正)(FBM-CLI.1.313974).txt,privacy
Administrative Licensing Law of the People's Republic of China (2019 Revision),23.04.2019,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates administrative licensing procedures.,FALSE,1_laws/中华人民共和国行政许可法(2019修正)(FBM-CLI.1.331492).txt,privacy
Law on the Protection of Women's Rights and Interests of the People's Republic of China,03.04.1992,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/中华人民共和国妇女权益保障法(FBM-CLI.1.5673).txt,privacy
Physician Law of the People's Republic of China,26.06.1998,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']",['Health & Social Work'],"['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates physician conduct and patient privacy.,FALSE,1_laws/中华人民共和国执业医师法(FBM-CLI.1.20221).txt,privacy
Decision on Amending the Statistical Law of the People's Republic of China,13.09.2024,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer']",[],[],['Information Processing'],Amends laws on statistical data protection.,FALSE,1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5231460).txt,privacy
Anti-Money Laundering Law of the People's Republic of China (2024 Revision),08.11.2024,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Financial Intermediation', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates anti-money laundering measures.,FALSE,1_laws/中华人民共和国反洗钱法(2024修订)(FBM-CLI.1.5234298).txt,privacy
Tort Liability Law of the People's Republic of China,26.12.2009,1_laws,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Protects civil rights and defines liabilities.,FALSE,1_laws/中华人民共和国侵权责任法(FBM-CLI.1.125300).txt,privacy
Report on the Review of the Filing of Regulations by the Standing Committee of the National People's Congress,28.12.2022,1_laws,national,People's Republic of China,FALSE,general,[],[],[],[],[],NA,FALSE,1_laws/全国人民代表大会常务委员会法制工作委员会关...(FBM-CLI.1.5146833).txt,privacy
Notarization Law of the People's Republic of China (2017 Revision),01.09.2017,1_laws,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",[],[],"['Information Processing', 'Information Dissemination']",Regulates notarization and protects personal rights.,FALSE,1_laws/中华人民共和国公证法(2017修正)(FBM-CLI.1.301394).txt,privacy
