title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category
Report on the Handling of Proposals Submitted by Deputies to the Second Session of the 11th National People's Congress,2009-03-12,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/十一届全国人大二次会议秘书处关于第十一届全...(FBM-CLI.1.176889).txt,privacy
Report of the Legislative Affairs Commission of the National People's Congress on the Review Results of Proposals Submitted by Deputies at the Fifth Session of the 10th National People's Congress Presidium,2007-12-29,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人大法律委员会关于第十届全国人民代表大...(FBM-CLI.1.113335).txt,privacy
Report on the 2018 Filing Review Work of the Legislative Affairs Commission of the Standing Committee of the National People's Congress,2018-12-24,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/全国人民代表大会常务委员会法制工作委员会关...(FBM-CLI.1.328157).txt,privacy
Anti-Terrorism Law of the People's Republic of China (2018 Amendment),2015-12-27,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国反恐怖主义法(2018修正)(FBM-CLI.1.313974).txt,privacy
Administrative Licensing Law of the People's Republic of China (2019 Amendment),2003-08-27,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国行政许可法(2019修正)(FBM-CLI.1.331492).txt,privacy
Basic Law of the Macao Special Administrative Region of the People's Republic of China,1993-03-31,city,Macao Special Administrative Region,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国澳门特别行政区基本法(FBM-CLI.1.6189).txt,privacy
Law on the Protection of Women's Rights and Interests of the People's Republic of China,1992-04-03,national,China,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国妇女权益保障法(FBM-CLI.1.5673).txt,privacy
Law of the People's Republic of China on Safeguarding National Security in the Hong Kong Special Administrative Region,2020-06-30,city,Hong Kong Special Administrative Region,True,general,[],[],[],[],[],,False,privacy/1_laws/中华人民共和国香港特别行政区维护国家安全法(FBM-CLI.1.343624).txt,privacy
Law of the People's Republic of China on Practicing Physicians,1998-06-26,national,China,False,sensitive,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Convenient Exercise & Remedy']","['Security & Management', 'Incident Response & Notification']",['Health & Social Work'],[],"['Information Collection', 'Information Processing', 'Information Dissemination']",Regulates physician duties to protect patient privacy and data,False,privacy/1_laws/中华人民共和国执业医师法(FBM-CLI.1.20221).txt,privacy
Decision of the Standing Committee of the National People's Congress on Amending the Statistics Law of the People's Republic of China (2024),2024-09-13,national,China,False,general,[],"['Security & Management', 'Incident Response & Notification']",[],[],"['Information Processing', 'Information Dissemination']",Enhances data protection and confidentiality in statistics work,False,privacy/1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5231460).txt,privacy
