title,date_enacted,jurisdiction,jurisdiction_name,general_reference,data_category,individual_rights,handler_responsibilities,sector,keywords,solove_classification,synopsis,pipl_mention,file_path,top_level_category
Report on Handling Proposals Submitted by Representatives at the Second Session of the Eleventh National People's Congress,12.03.2009,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十一届全国人大二次会议秘书处关于第十一届全...(FBM-CLI.1.176889).txt,1_laws
Report on the Results of the Review of Proposals Submitted by Representatives to the Fifth Session of the Tenth National People's Congress,29.12.2007,national,People's Republic of China,FALSE,general,[],[],[],[],[],Discussion on legislative proposals including privacy laws.,FALSE,1_laws/全国人大法律委员会关于第十届全国人民代表大...(FBM-CLI.1.113335).txt,1_laws
Report on the 2018 Filing Review Work of the Legislative Work Committee of the Standing Committee of the National People's Congress,24.12.2018,national,People's Republic of China,TRUE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会常务委员会法制工作委员会关...(FBM-CLI.1.328157).txt,1_laws
Anti-Terrorism Law of the People's Republic of China (2018 Revision),27.12.2015,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates anti-terrorism measures and responsibilities.,FALSE,1_laws/中华人民共和国反恐怖主义法(2018修正)(FBM-CLI.1.313974).txt,1_laws
Administrative Licensing Law of the People's Republic of China (2019 Revision),23.04.2019,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy']","['Security & Management', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates administrative licensing procedures.,FALSE,1_laws/中华人民共和国行政许可法(2019修正)(FBM-CLI.1.331492).txt,1_laws
Basic Law of the Macao Special Administrative Region of the People's Republic of China,31.03.1993,national,Macao Special Administrative Region,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Protects residents' rights and privacy.,FALSE,1_laws/中华人民共和国澳门特别行政区基本法(FBM-CLI.1.6189).txt,1_laws
Law on the Protection of Women's Rights and Interests of the People's Republic of China,03.04.1992,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/中华人民共和国妇女权益保障法(FBM-CLI.1.5673).txt,1_laws
The Law of the People's Republic of China on Safeguarding National Security in the Hong Kong Special Administrative Region,30.06.2020,national,Hong Kong Special Administrative Region,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing', 'Information Dissemination']",National security law with privacy considerations.,FALSE,1_laws/中华人民共和国香港特别行政区维护国家安全法(FBM-CLI.1.343624).txt,1_laws
Physician Law of the People's Republic of China,26.06.1998,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']",['Health & Social Work'],"['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates physician conduct and patient privacy.,FALSE,1_laws/中华人民共和国执业医师法(FBM-CLI.1.20221).txt,1_laws
Decision on Amending the Statistical Law of the People's Republic of China,13.09.2024,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer']",[],[],['Information Processing'],Amends laws on statistical data protection.,FALSE,1_laws/全国人民代表大会常务委员会关于修改《中华人...(FBM-CLI.1.5231460).txt,1_laws
Anti-Money Laundering Law of the People's Republic of China (2024 Revision),08.11.2024,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Compliance Audits', 'Incident Response & Notification']","['Financial Intermediation', 'Public Administration, Social Security & Social Organizations']",[],"['Information Collection', 'Information Processing']",Regulates anti-money laundering measures.,FALSE,1_laws/中华人民共和国反洗钱法(2024修订)(FBM-CLI.1.5234298).txt,1_laws
Tort Liability Law of the People's Republic of China,26.12.2009,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation']","['Security & Management', 'Protection Officer', 'Incident Response & Notification']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer']","['Information Collection', 'Information Processing', 'Information Dissemination']",Protects civil rights and defines liabilities.,FALSE,1_laws/中华人民共和国侵权责任法(FBM-CLI.1.125300).txt,1_laws
Report on the Review of the Filing of Regulations by the Standing Committee of the National People's Congress,28.12.2022,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/全国人民代表大会常务委员会法制工作委员会关...(FBM-CLI.1.5146833).txt,1_laws
Notarization Law of the People's Republic of China (2017 Revision),01.09.2017,national,People's Republic of China,FALSE,general,[],"['Security & Management', 'Protection Officer', 'Incident Response & Notification']",[],[],"['Information Processing', 'Information Dissemination']",Regulates notarization and protects personal rights.,FALSE,1_laws/中华人民共和国公证法(2017修正)(FBM-CLI.1.301394).txt,1_laws
Law of the People's Republic of China on Lawyers (2017 Revision),01.09.2017,national,People's Republic of China,FALSE,general,"['Know & Decide', 'Access & Copy', 'Rectification', 'Erasure', 'Explanation', 'Next of Kin', 'Convenient Exercise & Remedy']","['Security & Management', 'Protection Officer', 'Local Representative', 'Compliance Audits', 'Impact Assessment', 'Incident Response & Notification', 'Platform Compliance', 'Outsourced Processing']","['Public Administration, Social Security & Social Organizations']","['Parental Consent for Minors', 'Cross-Border Transfer', 'Automated Decision-Making Transparency', 'De-Identification', 'Anonymization']","['Information Collection', 'Information Processing', 'Information Dissemination', 'Invasion']",Regulates lawyer conduct and client privacy.,FALSE,1_laws/中华人民共和国律师法(2017修正)(FBM-CLI.1.301393).txt,1_laws
Report on the Handling of Proposals Submitted by Representatives at the Fourth Session of the Eleventh National People's Congress,13.03.2011,national,People's Republic of China,FALSE,general,[],[],[],[],[],,FALSE,1_laws/十一届全国人大四次会议秘书处关于第十一届全...(FBM-CLI.1.154506).txt,1_laws
Report on the Review Results of the Proposals Submitted by Representatives to the Second Session of the Twelfth National People's Congress,28.12.2014,national,People's Republic of China,FALSE,general,[],[],[],[],[],Legislation proposals related to personal information protection.,FALSE,1_laws/全国人民代表大会法律委员会关于第十二届全国...(FBM-CLI.1.245733).txt,1_laws
